activity_id,date,elapsed_s,distance_m,hr,speed_ms,pace_s_per_km,grade_adj_speed_ms,cadence_spm,power_w,stride_m,gct_ms,vertical_osc_mm,vertical_ratio,elevation_m,moving
22027909939,2026-03-01,0.0,0.0,56.0,0.0,,0.0,0.0,0.0,,,,,8.4,stop
22027909939,2026-03-01,5.0,0.0,57.0,0.0,,0.0,0.0,0.0,,,,,8.2,stop
22027909939,2026-03-01,10.0,0.0,53.0,0.0,,0.0,0.0,0.0,,,,,7.4,stop
22027909939,2026-03-01,15.0,0.0,52.0,0.0,,0.0,0.0,0.0,,,,,7.6,stop
22027909939,2026-03-01,20.0,0.0,53.0,0.0,,0.0,0.0,0.0,,,,,7.6,stop
22084729629,2026-03-06,0.0,0.0,93.0,1.344,744.0,1.325,107.0,80.0,,,5.67,,4.4,walk
22084729629,2026-03-06,6.0,12.33,94.0,2.221,450.2,2.19,173.0,197.0,76.5,266.0,7.63,9.96,4.4,run
22084729629,2026-03-06,12.0,24.09,101.0,2.043,489.5,2.06,167.0,179.0,73.1,281.0,7.81,10.67,4.4,run
22084729629,2026-03-06,18.0,38.65,108.0,2.379,420.3,2.399,166.0,216.0,87.0,273.0,8.58,9.86,4.4,run
22084729629,2026-03-06,24.0,51.75,114.0,2.258,442.9,2.271,174.0,200.0,77.5,266.0,7.66,9.87,4.4,run
22084729629,2026-03-06,30.0,65.36,120.0,2.267,441.1,2.28,165.0,210.0,85.0,278.0,8.56,10.08,4.6,run
22084729629,2026-03-06,36.0,80.86,129.0,2.361,423.5,2.391,174.0,218.0,81.4,263.0,7.87,9.67,4.8,run
22084729629,2026-03-06,42.0,94.95,130.0,2.407,415.5,2.438,170.0,220.0,85.2,267.0,8.28,9.71,4.6,run
22084729629,2026-03-06,48.0,110.67,132.0,2.435,410.7,2.464,173.0,220.0,84.9,264.0,8.15,9.6,4.6,run
22084729629,2026-03-06,54.0,125.37,134.0,2.473,404.4,2.486,174.0,217.0,85.2,261.0,8.05,9.44,4.6,run
22084729629,2026-03-06,60.0,132.15,135.0,2.389,418.6,2.417,172.0,212.0,84.3,264.0,8.13,9.65,5.0,run
22084729629,2026-03-06,66.0,139.27,136.0,1.866,535.9,1.892,173.0,175.0,64.3,274.0,6.96,10.81,5.0,jog
22084729629,2026-03-06,72.0,157.92,135.0,3.452,289.7,3.541,180.0,316.0,95.4,245.0,8.18,8.57,5.2,run
22084729629,2026-03-06,78.0,175.66,137.0,2.986,334.9,3.062,178.0,259.0,104.1,241.0,8.7,8.35,5.2,run
22084729629,2026-03-06,84.0,191.38,139.0,2.771,360.9,2.804,171.0,241.0,99.1,258.0,8.97,9.05,5.2,run
22084729629,2026-03-06,90.0,205.78,140.0,2.398,417.0,2.423,173.0,204.0,83.0,262.0,7.95,9.58,5.2,run
22084729629,2026-03-06,96.0,219.18,141.0,2.435,410.7,2.463,170.0,208.0,86.2,266.0,8.34,9.67,5.2,run
22084729629,2026-03-06,102.0,232.93,141.0,2.426,412.2,2.429,168.0,208.0,86.6,269.0,8.48,9.78,5.4,run
22084729629,2026-03-06,108.0,247.77,142.0,2.398,417.0,2.405,170.0,204.0,83.6,268.0,8.19,9.8,5.2,run
22084729629,2026-03-06,114.0,262.45,142.0,2.435,410.7,2.433,167.0,208.0,88.3,272.0,8.66,9.8,5.2,run
22084729629,2026-03-06,120.0,276.99,142.0,2.435,410.7,2.432,169.0,206.0,86.9,269.0,8.49,9.76,5.2,run
22084729629,2026-03-06,126.0,291.46,142.0,2.435,410.7,2.419,170.0,204.0,85.6,267.0,8.29,9.68,5.2,run
22084729629,2026-03-06,132.0,306.68,142.0,2.426,412.2,2.41,170.0,204.0,85.6,267.0,8.29,9.68,5.2,run
22084729629,2026-03-06,138.0,323.32,143.0,2.482,402.9,2.502,169.0,212.0,88.3,268.0,8.56,9.7,5.2,run
22084729629,2026-03-06,144.0,342.37,136.0,2.557,391.1,2.579,178.0,219.0,85.2,255.0,7.83,9.19,5.2,run
22084729629,2026-03-06,150.0,363.43,136.0,2.948,339.2,2.927,176.0,267.0,99.8,247.0,8.65,8.66,5.2,run
22084729629,2026-03-06,156.0,379.87,137.0,2.781,359.6,2.76,173.0,244.0,97.3,255.0,8.79,9.03,5.4,run
22084729629,2026-03-06,162.0,394.34,137.0,2.613,382.7,2.639,171.0,231.0,91.2,263.0,8.59,9.42,5.4,run
22084729629,2026-03-06,168.0,409.87,136.0,2.669,374.7,2.696,171.0,240.0,94.1,261.0,8.74,9.28,5.4,run
22084729629,2026-03-06,174.0,424.67,136.0,2.538,394.0,2.551,174.0,221.0,87.8,259.0,8.19,9.32,5.2,run
22084729629,2026-03-06,180.0,439.56,136.0,2.519,397.0,2.533,172.0,219.0,87.5,262.0,8.29,9.47,5.4,run
22084729629,2026-03-06,186.0,456.46,136.0,2.501,399.8,2.505,175.0,214.0,84.9,258.0,7.93,9.34,5.4,run
22084729629,2026-03-06,192.0,473.46,136.0,2.641,378.6,2.645,175.0,231.0,90.0,254.0,8.19,9.1,5.4,run
22084729629,2026-03-06,198.0,490.97,138.0,2.65,377.4,2.656,174.0,229.0,91.3,256.0,8.38,9.17,5.2,run
22084729629,2026-03-06,204.0,506.95,139.0,2.659,376.1,2.665,170.0,231.0,93.8,261.0,8.73,9.3,5.4,run
22084729629,2026-03-06,210.0,522.27,139.0,2.687,372.2,2.693,172.0,231.0,93.7,258.0,8.6,9.17,5.2,run
